Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,source,Item_Visibility_MeanRatio,Item_Type_Aggregate,Outlet_Years
FDT55,13.6,Regular,0.043655155,Fruits and Vegetables,156.7946,OUT046,1997,Small,Tier 1,Supermarket Type1,3629.2758,train,0.9249991083712594,High Sales,16
DRY23,12.6,Regular,0.108568067,Soft Drinks,42.9112,OUT027,1985,Medium,Tier 3,Supermarket Type3,809.6128,train,0.9178236874363915,Low Sales,28
FDL46,20.35,Low Fat,0.090480214,Snack Foods,119.5466,OUT010,1998,Small,Tier 3,Grocery Store,117.8466,train,1.4588208045030129,High Sales,15
FDQ57,7.275,Low Fat,0.027942357,Snack Foods,145.076,OUT035,2004,Small,Tier 2,Supermarket Type1,1611.236,train,0.9495386765668287,High Sales,9
FDQ16,19.7,Low Fat,0.041730507,Frozen Foods,109.2912,OUT035,2004,Small,Tier 2,Supermarket Type1,2402.2064,train,0.9221155219420537,Medium Sales,9
FDZ52,12.6,Low Fat,0.099589909,Frozen Foods,109.1886,OUT027,1985,Medium,Tier 3,Supermarket Type3,4225.1668,train,0.9251308165493455,Medium Sales,28
FDL16,12.6,Low Fat,0.294939214,Frozen Foods,47.106,OUT019,1985,Small,Tier 1,Grocery Store,139.818,train,1.5315371985215982,Medium Sales,28
NCX18,14.15,Non-Consumable,0.008829806,Household,196.811,OUT018,2009,Medium,Tier 3,Supermarket Type2,4517.453,train,0.8872516127745029,High Sales,4
FDM34,19,Low Fat,0.067722325,Snack Foods,130.8626,OUT018,2009,Medium,Tier 3,Supermarket Type2,1573.9512,train,0.8749689119082693,High Sales,4
FDG60,12.6,Low Fat,0.060405784,Baking Goods,234.5616,OUT027,1985,Medium,Tier 3,Supermarket Type3,6796.4864,train,0.9251308137085479,Low Sales,28
NCA06,20.5,Non-Consumable,0.125433611375,Household,37.119,OUT018,2009,Medium,Tier 3,Supermarket Type2,842.237,train,0.888888888888889,High Sales,4
DRD12,6.96,Low Fat,0.077193561,Soft Drinks,89.9146,OUT046,1997,Small,Tier 1,Supermarket Type1,1277.0044,train,0.9253798845868753,Low Sales,16
FDP04,15.35,Low Fat,0.013869039,Frozen Foods,62.5168,OUT018,2009,Medium,Tier 3,Supermarket Type2,447.4176,train,0.9260469313902653,Medium Sales,4
NCH30,17.1,Non-Consumable,0.067290244,Household,114.586,OUT045,2002,Small,Tier 2,Supermarket Type1,1584.604,train,0.8735433175524793,High Sales,11
FDS04,10.195,Regular,0.146960375,Frozen Foods,142.2838,OUT045,2002,Small,Tier 2,Supermarket Type1,1685.8056,train,0.9353771685687935,Medium Sales,11
FDQ13,12.6,Low Fat,0.018632082,Canned,82.9908,OUT019,1985,Small,Tier 1,Grocery Store,503.3448,train,1.614810620212414,High Sales,28
FDU59,5.78,Low Fat,0.096536082,Breads,162.8552,OUT049,1999,Medium,Tier 1,Supermarket Type1,3574.0144,train,1.000623042431159,High Sales,14
DRG11,6.385,Low Fat,0.084008316,Hard Drinks,108.2596,OUT045,2002,Small,Tier 2,Supermarket Type1,1186.4556,train,0.9349382479595116,Medium Sales,11
FDA36,12.6,Low Fat,0.005638944,Baking Goods,184.9924,OUT027,1985,Medium,Tier 3,Supermarket Type3,3146.5708,train,0.9178236481760799,Low Sales,28
FDA15,9.3,Low Fat,0.01601936,Dairy,248.5092,OUT035,2004,Small,Tier 2,Supermarket Type1,6474.2392,train,0.9294567939627015,High Sales,9
FDZ03,13.65,Regular,0.13187274,Dairy,188.024,OUT010,1998,Small,Tier 3,Grocery Store,745.696,train,1.5503432178417413,High Sales,15
FDJ16,9.195,Low Fat,0.114863923,Frozen Foods,59.0246,OUT035,2004,Small,Tier 2,Supermarket Type1,1853.5872,train,0.998880834688357,Medium Sales,9
FDZ12,9.17,Low Fat,0.103138922,Baking Goods,141.747,OUT049,1999,Medium,Tier 1,Supermarket Type1,3006.087,train,0.9404827637060835,Low Sales,14
FDH09,12.6,Low Fat,0.056191301,Seafood,53.2982,OUT045,2002,Small,Tier 2,Supermarket Type1,736.3748,train,1.0010958953615694,High Sales,11
FDT13,14.85,Low Fat,0.01867669,Canned,188.7214,OUT017,2007,Small,Tier 2,Supermarket Type1,3956.8494,train,0.9368755309869832,High Sales,6
FDU20,19.35,Regular,0.021578923,Fruits and Vegetables,120.5098,OUT017,2007,Small,Tier 2,Supermarket Type1,1807.647,train,0.8796766026749627,High Sales,6
DRH25,18.7,Low Fat,0.014076490222222222,Soft Drinks,52.2324,OUT035,2004,Small,Tier 2,Supermarket Type1,467.3916,train,0.8999999999999999,Low Sales,9
FDK26,5.46,Regular,0.032242661,Canned,187.624,OUT045,2002,Small,Tier 2,Supermarket Type1,3542.056,train,0.8727970528314268,High Sales,11
FDU32,8.785,Low Fat,0.025962714,Fruits and Vegetables,120.9414,OUT035,2004,Small,Tier 2,Supermarket Type1,1949.4624,train,0.9512059579352637,High Sales,9
FDI22,12.6,Low Fat,0.096407554,Snack Foods,210.8612,OUT045,2002,Small,Tier 2,Supermarket Type1,3344.9792,train,0.8765027679611427,High Sales,11
NCB54,8.76,Non-Consumable,0.050256604,Health and Hygiene,127.3336,OUT018,2009,Medium,Tier 3,Supermarket Type2,2684.5056,train,0.9260469331309523,Low Sales,4
FDX46,12.3,Regular,0.058234621,Snack Foods,58.7562,OUT045,2002,Small,Tier 2,Supermarket Type1,592.562,train,0.873132563244912,High Sales,11
NCC07,19.6,Non-Consumable,0.023931217,Household,103.1964,OUT013,1987,High,Tier 3,Supermarket Type1,736.3748,train,0.8740008538112192,High Sales,26
FDQ34,12.6,Low Fat,0.284065879,Snack Foods,105.5622,OUT019,1985,Small,Tier 1,Grocery Store,211.7244,train,1.6148105884647974,High Sales,28
FDM16,8.155,Regular,0.033692089,Frozen Foods,76.2354,OUT018,2009,Medium,Tier 3,Supermarket Type2,1279.0018,train,1.0031395255963045,Medium Sales,4
FDJ55,12.6,Regular,0.023417004,Meat,223.8404,OUT027,1985,Medium,Tier 3,Supermarket Type3,7201.2928,train,0.925130830819739,Medium Sales,28
DRI01,7.97,Low Fat,0.034647829,Soft Drinks,171.2422,OUT017,2007,Small,Tier 2,Supermarket Type1,3103.9596,train,0.9648404975251473,Low Sales,6
FDD50,18.85,Low Fat,0.142219209,Canned,167.6132,OUT018,2009,Medium,Tier 3,Supermarket Type2,1522.0188,train,1.0031395340281797,High Sales,4
FDJ08,11.1,Low Fat,0.11089655,Fruits and Vegetables,191.5846,OUT045,2002,Small,Tier 2,Supermarket Type1,2101.9306,train,0.9241603429576557,High Sales,11
NCK18,9.6,Non-Consumable,0.006708517,Household,164.6184,OUT049,1999,Medium,Tier 1,Supermarket Type1,2972.1312,train,0.8850525547453191,High Sales,14
FDQ14,9.27,Low Fat,0.103419257,Dairy,148.105,OUT010,1998,Small,Tier 3,Grocery Store,149.805,train,1.4641166643154793,High Sales,15
FDS51,13.35,Low Fat,0.032180494,Meat,61.2194,OUT046,1997,Small,Tier 1,Supermarket Type1,433.4358,train,0.9990697470021604,Medium Sales,16
FDA04,11.3,Regular,0.066717378,Frozen Foods,260.8962,OUT035,2004,Small,Tier 2,Supermarket Type1,4920.9278,train,0.998880837445379,Medium Sales,9
FDP10,19,Low Fat,0.128814669,Snack Foods,107.6622,OUT017,2007,Small,Tier 2,Supermarket Type1,1164.4842,train,0.879676615745182,High Sales,6
FDT36,12.3,Low Fat,0.111500259,Baking Goods,35.6874,OUT045,2002,Small,Tier 2,Supermarket Type1,846.8976,train,0.9617784374740207,Low Sales,11
FDH38,6.425,Low Fat,0.010497273,Canned,118.3808,OUT017,2007,Small,Tier 2,Supermarket Type1,2812.3392,train,0.9275067563840259,High Sales,6
FDC16,11.5,Regular,0.020653603,Dairy,84.954,OUT018,2009,Medium,Tier 3,Supermarket Type2,865.54,train,1.0189269800967842,High Sales,4
FDF17,5.19,Low Fat,0.042687151,Frozen Foods,195.911,OUT049,1999,Medium,Tier 1,Supermarket Type1,2946.165,train,0.9237238259248856,Medium Sales,14
FDU23,12.15,Low Fat,0.021705417,Breads,163.5184,OUT013,1987,High,Tier 3,Supermarket Type1,3137.2496,train,0.9322695656879849,High Sales,26
FDB34,15.25,Low Fat,0.026651184,Snack Foods,86.6198,OUT049,1999,Medium,Tier 1,Supermarket Type1,1657.1762,train,0.931077934344388,High Sales,14
FDW26,11.8,Regular,0.106968096,Dairy,221.6772,OUT013,1987,High,Tier 3,Supermarket Type1,3113.2808,train,0.8740008644959584,High Sales,26
FDP45,15.7,Regular,0.030686952,Snack Foods,253.4724,OUT045,2002,Small,Tier 2,Supermarket Type1,1510.0344,train,0.9241603577782385,High Sales,11
FDD38,16.75,Regular,0.008191729,Canned,103.5674,OUT046,1997,Small,Tier 1,Supermarket Type1,1629.8784,train,0.8710306199263759,High Sales,16
FDM60,10.8,Regular,0.048218142,Baking Goods,42.2138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346,train,0.8853327819631114,Low Sales,14
FDW26,11.8,Regular,0.107036943,Dairy,220.3772,OUT035,2004,Small,Tier 2,Supermarket Type1,4447.544,train,0.8745633905179037,High Sales,9
FDV51,12.6,Low Fat,0.032381325,Meat,166.1842,OUT027,1985,Medium,Tier 3,Supermarket Type3,5470.8786,train,0.9251308071498227,Medium Sales,28
FDT33,7.81,Regular,0.034043503,Snack Foods,168.7158,OUT049,1999,Medium,Tier 1,Supermarket Type1,2673.8528,train,1.016665103698379,High Sales,14
FDQ40,11.1,Regular,0.036027524,Frozen Foods,177.2712,OUT046,1997,Small,Tier 1,Supermarket Type1,3339.6528,train,0.8747287932831341,Medium Sales,16
FDX40,12.85,Low Fat,0.1032726509,Frozen Foods,38.3164,OUT035,2004,Small,Tier 2,Supermarket Type1,502.0132,train,0.9090909090909092,Medium Sales,9
FDU31,10.5,Regular,0.02498633,Fruits and Vegetables,216.7508,OUT035,2004,Small,Tier 2,Supermarket Type1,3038.7112,train,0.8745633834276012,High Sales,9
DRJ01,6.135,Low Fat,0.115032406,Soft Drinks,161.0236,OUT046,1997,Small,Tier 1,Supermarket Type1,1288.9888,train,0.9296326029740529,Low Sales,16
FDP11,12.6,Low Fat,0.068765925,Breads,216.9166,OUT027,1985,Medium,Tier 3,Supermarket Type3,4354.332,train,0.8704928777291567,High Sales,28
NCN43,12.6,Non-Consumable,0.006727008,Others,125.173,OUT027,1985,Medium,Tier 3,Supermarket Type3,3202.498,train,0.867214969586851,Low Sales,28
FDA15,9.3,Low Fat,0.016087659,Dairy,249.6092,OUT018,2009,Medium,Tier 3,Supermarket Type2,5976.2208,train,0.9334195596144417,High Sales,4
FDO04,16.6,Low Fat,0.023226001125,Frozen Foods,54.6614,OUT017,2007,Small,Tier 2,Supermarket Type1,884.1824,train,0.8888888888888888,Medium Sales,6
NCF43,8.51,Non-Consumable,0.051936086,Household,142.947,OUT035,2004,Small,Tier 2,Supermarket Type1,3006.087,train,0.9580602023493404,High Sales,9
NCI17,8.645,Non-Consumable,0.1442339,Health and Hygiene,95.441,OUT017,2007,Small,Tier 2,Supermarket Type1,3282.394,train,0.9302312873193035,Low Sales,6
FDY47,8.6,Regular,0.05443912,Breads,128.831,OUT013,1987,High,Tier 3,Supermarket Type1,1038.648,train,0.8708395053088072,High Sales,26
FDF20,12.6,Low Fat,0.033059299,Fruits and Vegetables,196.4768,OUT027,1985,Medium,Tier 3,Supermarket Type3,6306.4576,train,0.8704928755651444,High Sales,28
NCS53,14.5,Non-Consumable,0.089778187,Health and Hygiene,158.4604,OUT046,1997,Small,Tier 1,Supermarket Type1,2693.8268,train,0.9222899126411432,Low Sales,16
FDK38,6.65,Low Fat,0.053372768,Canned,149.5734,OUT049,1999,Medium,Tier 1,Supermarket Type1,2524.0478,train,0.9404827739484156,High Sales,14
FDW43,20.1,Regular,0.022406575,Fruits and Vegetables,225.9036,OUT013,1987,High,Tier 3,Supermarket Type1,3643.2576,train,0.9215224252503954,High Sales,26
FDV57,15.25,Regular,0.065896556,Snack Foods,179.266,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128,train,1.066427190811602,High Sales,16
FDX26,17.7,Low Fat,0.088305201,Dairy,182.3292,OUT017,2007,Small,Tier 2,Supermarket Type1,4195.8716,train,0.8762941980068629,High Sales,6
FDR04,7.075,Low Fat,0.022566975,Frozen Foods,97.3068,OUT046,1997,Small,Tier 1,Supermarket Type1,1263.6884,train,0.9334840282498159,Medium Sales,16
FDP19,11.5,Low Fat,0.1480770922222222,Fruits and Vegetables,129.3652,OUT013,1987,High,Tier 3,Supermarket Type1,2066.6432,train,0.8181818181818181,High Sales,26
FDT07,5.82,Regular,0.077756427,Fruits and Vegetables,254.533,OUT017,2007,Small,Tier 2,Supermarket Type1,1281.665,train,0.9302312860312703,High Sales,6
DRB24,8.785,Low Fat,0.020609218,Soft Drinks,155.1656,OUT049,1999,Medium,Tier 1,Supermarket Type1,4016.1056,train,1.000623058359233,Low Sales,14
FDB36,5.465,Regular,0.030340533875,Baking Goods,129.1626,OUT046,1997,Small,Tier 1,Supermarket Type1,3672.5528,train,0.7272727272727273,Low Sales,16
NCE07,12.6,Non-Consumable,0.013066448,Household,140.9154,OUT027,1985,Medium,Tier 3,Supermarket Type3,2127.231,train,0.8673835638330215,High Sales,28
FDI16,12.6,Regular,0.135118202,Frozen Foods,52.564,OUT027,1985,Medium,Tier 3,Supermarket Type3,2290.352,train,0.8671992355353716,Medium Sales,28
FDP45,15.7,Regular,0.030624844,Snack Foods,252.2724,OUT046,1997,Small,Tier 1,Supermarket Type1,1258.362,train,0.922289929216259,High Sales,16
NCC43,7.39,Non-Consumable,0.092705683,Household,251.9066,OUT013,1987,High,Tier 3,Supermarket Type1,4267.1122,train,0.9240453377244382,High Sales,26
FDQ23,12.6,Low Fat,0.042941559,Breads,102.9332,OUT019,1985,Small,Tier 1,Grocery Store,102.5332,train,1.6148105880614025,High Sales,28
FDW24,6.8,Low Fat,0.03748996,Baking Goods,48.6034,OUT035,2004,Small,Tier 2,Supermarket Type1,291.6204,train,0.8745633981353155,Low Sales,9
FDW09,12.6,Regular,0.025795293,Snack Foods,80.2302,OUT027,1985,Medium,Tier 3,Supermarket Type3,2139.2154,train,0.92513081881816694,High Sales,28
FDN10,11.5,Low Fat,0.046115083,Snack Foods,120.2124,OUT035,2004,Small,Tier 2,Supermarket Type1,1540.6612,train,0.9250903070417129,High Sales,9
FDE23,17.6,Regular,0.053170949,Starchy Foods,45.606,OUT035,2004,Small,Tier 2,Supermarket Type1,1724.422,train,0.9583664499062562,High Sales,9
FDV16,7.75,Regular,0.082915017,Frozen Foods,34.9558,OUT035,2004,Small,Tier 2,Supermarket Type1,645.1602,train,0.9248741947079114,Medium Sales,9
FDF12,12.6,Low Fat,0.082028694,Baking Goods,148.6076,OUT027,1985,Medium,Tier 3,Supermarket Type3,3990.8052,train,0.9942317128319538,Low Sales,28
FDN21,18.6,Low Fat,0.076975118,Snack Foods,161.8236,OUT049,1999,Medium,Tier 1,Supermarket Type1,1611.236,train,0.9330543754528442,High Sales,14
DRC25,5.73,Low Fat,0.045371855,Soft Drinks,86.0882,OUT046,1997,Small,Tier 1,Supermarket Type1,1116.5466,train,0.8710305791378196,Low Sales,16
NCP18,12.15,Non-Consumable,0.028642712,Household,149.0708,OUT049,1999,Medium,Tier 1,Supermarket Type1,1203.7664,train,0.9237238224511626,High Sales,14
FDW60,5.44,Regular,0.017047751,Baking Goods,174.637,OUT013,1987,High,Tier 3,Supermarket Type1,2999.429,train,0.9982383526355568,Low Sales,26
FDY04,17.7,Regular,0.042562588,Frozen Foods,165.021,OUT045,2002,Small,Tier 2,Supermarket Type1,3425.541,train,0.9241603403204596,Medium Sales,11
NCJ31,12.6,Non-Consumable,0.181769264,Others,240.6196,OUT027,1985,Medium,Tier 3,Supermarket Type3,4579.3724,train,0.9251308190876769,Low Sales,28
DRN47,12.1,Low Fat,0.016812745,Hard Drinks,180.666,OUT013,1987,High,Tier 3,Supermarket Type1,4134.618,train,0.8708790145195149,Medium Sales,26
FDU13,8.355,Low Fat,0.1956789239,Canned,145.6418,OUT013,1987,High,Tier 3,Supermarket Type1,3384.2614,train,0.9090909090909091,High Sales,26
FDT39,6.26,Regular,0.016516867,Meat,151.1366,OUT010,1998,Small,Tier 3,Grocery Store,453.4098,train,1.4641167033003135,Medium Sales,15
NCQ18,15.75,Non-Consumable,0.134960397,Household,101.37,OUT013,1987,High,Tier 3,Supermarket Type1,2097.27,train,0.9288589892162262,High Sales,26
FDV25,5.905,Low Fat,0.045614252,Canned,221.5456,OUT013,1987,High,Tier 3,Supermarket Type1,6852.4136,train,0.9242793029704336,High Sales,26
NCE30,16,Non-Consumable,0.099136036,Household,210.3902,OUT046,1997,Small,Tier 1,Supermarket Type1,1486.7314,train,0.9250491163060017,High Sales,16
NCN42,20.25,Non-Consumable,0.014222617,Household,148.9418,OUT046,1997,Small,Tier 1,Supermarket Type1,3531.4032,train,0.932956585633052,High Sales,16
FDW25,5.175,Low Fat,0.037457098,Canned,83.4224,OUT049,1999,Medium,Tier 1,Supermarket Type1,1448.7808,train,0.9310779313998319,High Sales,14
FDS49,9,Low Fat,0.079279489,Canned,77.2644,OUT013,1987,High,Tier 3,Supermarket Type1,1335.5948,train,0.9240453371191488,High Sales,26
FDN34,15.6,Regular,0.045835395,Snack Foods,168.2132,OUT049,1999,Medium,Tier 1,Supermarket Type1,2367.5848,train,0.950501401614295,High Sales,14
FDS45,5.175,Regular,0.029616108,Snack Foods,107.76220000000001,OUT018,2009,Medium,Tier 3,Supermarket Type2,2011.3818,train,0.878292061502106,High Sales,4
NCL53,12.6,Non-Consumable,0.034971070444444446,Health and Hygiene,175.4028,OUT027,1985,Medium,Tier 3,Supermarket Type3,6729.9064,train,0.9,Low Sales,28
FDT38,18.7,Low Fat,0.0576269,Dairy,83.3566,OUT049,1999,Medium,Tier 1,Supermarket Type1,1860.2452,train,1.0006230355145438,High Sales,14
NCX06,17.6,Non-Consumable,0.015687045,Household,182.6976,OUT046,1997,Small,Tier 1,Supermarket Type1,3440.8544,train,0.8747288108691738,High Sales,16
NCY17,18.2,Non-Consumable,0.162960415,Health and Hygiene,43.5086,OUT013,1987,High,Tier 3,Supermarket Type1,1070.6064,train,1.0502593108703067,Low Sales,26
NCO18,13.15,Non-Consumable,0.024651269,Household,179.5686,OUT046,1997,Small,Tier 1,Supermarket Type1,1422.1488,train,0.8747287921460338,High Sales,16
FDY47,8.6,Regular,0.091195818,Breads,130.231,OUT010,1998,Small,Tier 3,Grocery Store,129.831,train,1.4588208081495808,High Sales,15
FDF57,12.6,Regular,0.058542509,Fruits and Vegetables,168.6448,OUT027,1985,Medium,Tier 3,Supermarket Type3,3408.896,train,0.9203364913544918,High Sales,28
FDS26,20.35,Low Fat,0.089608321,Dairy,262.1594,OUT049,1999,Medium,Tier 1,Supermarket Type1,3139.9128,train,0.9310779377460915,High Sales,14
NCL17,7.39,Non-Consumable,0.067766896,Health and Hygiene,140.6812,OUT035,2004,Small,Tier 2,Supermarket Type1,3704.5112,train,0.8745633922660333,Low Sales,9
NCB18,19.6,Non-Consumable,0.041355366,Household,88.7514,OUT049,1999,Medium,Tier 1,Supermarket Type1,2656.542,train,0.876088764744141,High Sales,14
FDA50,16.25,Low Fat,0.145913308,Dairy,95.441,OUT010,1998,Small,Tier 3,Grocery Store,193.082,train,1.4641166637258567,High Sales,15
DRE13,6.28,Low Fat,0.027748176,Soft Drinks,86.5198,OUT049,1999,Medium,Tier 1,Supermarket Type1,1395.5168,train,0.8760887539086782,Low Sales,14
DRE60,9.395,Low Fat,0.159201868,Soft Drinks,226.072,OUT013,1987,High,Tier 3,Supermarket Type1,3621.952,train,0.9215224110202553,Low Sales,26
FDB20,7.72,Low Fat,0.052274691,Fruits and Vegetables,79.1986,OUT017,2007,Small,Tier 2,Supermarket Type1,778.986,train,0.8796766178237143,High Sales,6
NCS18,12.65,Non-Consumable,0.042175992,Household,106.4938,OUT013,1987,High,Tier 3,Supermarket Type1,2465.4574,train,0.9982383460241187,High Sales,26
FDH19,12.6,Low Fat,0.057933643,Meat,175.1738,OUT019,1985,Small,Tier 1,Grocery Store,347.5476,train,1.6148105838084181,Medium Sales,28
FDS47,16.75,Low Fat,0.1216027754,Breads,88.7856,OUT045,2002,Small,Tier 2,Supermarket Type1,966.7416,train,0.8333333333333334,High Sales,11
FDC09,15.5,Regular,0.026280116,Fruits and Vegetables,102.3332,OUT013,1987,High,Tier 3,Supermarket Type1,922.7988,train,0.9213603683801964,High Sales,26
DRG23,8.88,Low Fat,0.086916126,Hard Drinks,153.3682,OUT049,1999,Medium,Tier 1,Supermarket Type1,1219.7456,train,0.9349353579062979,Medium Sales,14
FDU34,18.25,Low Fat,0.075347426,Snack Foods,126.3046,OUT045,2002,Small,Tier 2,Supermarket Type1,747.0276,train,1.001095888678267,High Sales,11
FDZ40,8.935,Low Fat,0.040410039,Frozen Foods,52.9298,OUT017,2007,Small,Tier 2,Supermarket Type1,539.298,train,0.8796766239578889,Medium Sales,6
NCE30,16,Non-Consumable,0.09911729,Household,210.7902,OUT035,2004,Small,Tier 2,Supermarket Type1,4460.1942,train,0.9248741953445233,High Sales,9
FDA44,19.7,Low Fat,0.053439522,Fruits and Vegetables,55.093,OUT018,2009,Medium,Tier 3,Supermarket Type2,1018.674,train,0.9334195266202506,High Sales,4
FDB32,20.6,Low Fat,0.023448504,Fruits and Vegetables,93.9778,OUT035,2004,Small,Tier 2,Supermarket Type1,2816.334,train,0.8745633818075129,High Sales,9
NCO06,19.25,Non-Consumable,0.108030434,Household,32.4558,OUT046,1997,Small,Tier 1,Supermarket Type1,101.8674,train,0.9296326083399712,High Sales,16
FDY44,14.15,Regular,0.024404558,Fruits and Vegetables,198.311,OUT046,1997,Small,Tier 1,Supermarket Type1,2553.343,train,0.9990697286746842,High Sales,16
FDG10,6.63,Regular,0.010961483,Snack Foods,58.2588,OUT045,2002,Small,Tier 2,Supermarket Type1,343.5528,train,0.8765027499631755,High Sales,11
FDF38,11.8,Regular,0.026358005,Canned,39.6138,OUT046,1997,Small,Tier 1,Supermarket Type1,365.5242,train,0.9990697638101431,High Sales,16
FDW59,12.6,Low Fat,0.03627089,Breads,85.9566,OUT019,1985,Small,Tier 1,Grocery Store,169.1132,train,1.6183717446950954,High Sales,28
FDP34,12.85,Low Fat,0.137227848,Snack Foods,155.563,OUT046,1997,Small,Tier 1,Supermarket Type1,4224.501,train,0.9248149487872289,High Sales,16
FDZ26,11.6,Regular,0.144832027,Dairy,239.8222,OUT017,2007,Small,Tier 2,Supermarket Type1,4063.3774,train,0.8796766172527892,High Sales,6
FDH17,12.6,Regular,0.029157849,Frozen Foods,97.0726,OUT019,1985,Small,Tier 1,Grocery Store,293.6178,train,1.6148105828797847,Medium Sales,28
FDU44,12.15,Regular,0.058756205,Fruits and Vegetables,161.0552,OUT017,2007,Small,Tier 2,Supermarket Type1,3411.5592,train,0.9275067573724339,High Sales,6
FDS23,4.635,Low Fat,0.141108156,Breads,128.2994,OUT049,1999,Medium,Tier 1,Supermarket Type1,2698.4874,train,0.9237238311095507,High Sales,14
DRE03,19.6,Low Fat,0.024325592,Dairy,48.5718,OUT018,2009,Medium,Tier 3,Supermarket Type2,425.4462,train,0.9334195234737817,High Sales,4
FDY57,20.2,Regular,0.121500143,Snack Foods,95.0752,OUT045,2002,Small,Tier 2,Supermarket Type1,2588.6304,train,1.0010958917913513,High Sales,11
FDH50,12.6,Regular,0.160653682,Canned,185.2266,OUT027,1985,Medium,Tier 3,Supermarket Type3,5901.6512,train,1.0101030734228176,High Sales,28
DRY23,9.395,Regular,0.109096371,Soft Drinks,44.6112,OUT046,1997,Small,Tier 1,Supermarket Type1,511.3344,train,0.9222899171369479,Low Sales,16
FDT27,11.395,Regular,0.069574013,Meat,232.8616,OUT035,2004,Small,Tier 2,Supermarket Type1,2812.3392,train,0.8745633902669377,Medium Sales,9
FDB38,19.5,Regular,0.027458099,Canned,158.792,OUT018,2009,Medium,Tier 3,Supermarket Type2,2556.672,train,0.9640068523626603,High Sales,4
FDY16,18.35,Regular,0.092226754,Frozen Foods,184.4266,OUT046,1997,Small,Tier 1,Supermarket Type1,3504.1054,train,0.9500107226014867,Medium Sales,16
FDG33,5.365,Regular,0.234733477,Seafood,173.4764,OUT010,1998,Small,Tier 3,Grocery Store,171.7764,train,1.4641166653401783,High Sales,15
FDN04,11.8,Regular,0.014144442,Frozen Foods,180.4344,OUT018,2009,Medium,Tier 3,Supermarket Type2,535.3032,train,1.0188994977903012,Medium Sales,4
FDJ48,11.3,Low Fat,0.056754036,Baking Goods,247.5118,OUT017,2007,Small,Tier 2,Supermarket Type1,2470.118,train,0.9385429581390528,Low Sales,6
NCC07,19.6,Non-Consumable,0.023999722,Household,104.0964,OUT045,2002,Small,Tier 2,Supermarket Type1,525.982,train,0.8765027503294922,High Sales,11
FDI35,14,Low Fat,0.041355366,Starchy Foods,182.0634,OUT049,1999,Medium,Tier 1,Supermarket Type1,4544.085,train,1.000623039904363,High Sales,14
DRH49,19.7,Low Fat,0.024655594,Soft Drinks,84.3592,OUT046,1997,Small,Tier 1,Supermarket Type1,743.0328,train,0.8832427777489592,Low Sales,16
FDY51,12.5,Low Fat,0.081134826,Meat,220.0798,OUT046,1997,Small,Tier 1,Supermarket Type1,4848.3556,train,0.999069752442058,Medium Sales,16
NCG07,12.3,Non-Consumable,0.052608525,Household,191.253,OUT045,2002,Small,Tier 2,Supermarket Type1,2656.542,train,0.9241603491443706,High Sales,11
FDA22,7.435,Low Fat,0.084452363,Starchy Foods,165.2158,OUT046,1997,Small,Tier 1,Supermarket Type1,2840.9686,train,0.9325258326400186,High Sales,16
FDA33,6.48,Low Fat,0.033899898,Snack Foods,146.9076,OUT046,1997,Small,Tier 1,Supermarket Type1,2956.152,train,0.999069764522158,High Sales,16
FDV03,17.6,Low Fat,0.058042926,Meat,154.6314,OUT013,1987,High,Tier 3,Supermarket Type1,1861.5768,train,0.9288589810442021,Medium Sales,26
FDP27,8.155,Low Fat,0.119692888,Meat,188.453,OUT045,2002,Small,Tier 2,Supermarket Type1,4364.319,train,0.8765027635745787,Medium Sales,11
FDZ20,16.1,Low Fat,0.0343603,Fruits and Vegetables,253.4356,OUT049,1999,Medium,Tier 1,Supermarket Type1,2797.6916,train,0.8723848012090802,High Sales,14
FDR56,15.5,Regular,0.100922503,Fruits and Vegetables,199.0768,OUT049,1999,Medium,Tier 1,Supermarket Type1,2759.0752,train,0.9310779363112173,High Sales,14
NCV41,12.6,Non-Consumable,0.016956266,Health and Hygiene,109.3228,OUT027,1985,Medium,Tier 3,Supermarket Type3,2431.5016,train,0.8704928821664214,Low Sales,28
FDU11,4.785,Low Fat,0.092576144,Breads,121.0098,OUT035,2004,Small,Tier 2,Supermarket Type1,2530.7058,train,0.8745633901917936,High Sales,9
NCB30,14.6,Non-Consumable,0.025742955,Household,197.1084,OUT049,1999,Medium,Tier 1,Supermarket Type1,4761.8016,train,0.8643993985506477,High Sales,14
FDX23,6.445,Low Fat,0.029812714,Baking Goods,95.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,1229.0668,train,0.9334195358894484,Low Sales,4
FDY24,4.88,Regular,0.133382115,Baking Goods,55.0298,OUT013,1987,High,Tier 3,Supermarket Type1,647.1576,train,0.8829432568692899,Low Sales,26
FDZ37,8.1,Regular,0.0173179035,Canned,88.5198,OUT013,1987,High,Tier 3,Supermarket Type1,261.6594,train,0.8888888888888888,High Sales,26
